cuvette,scan,valid,bca(450nm),bca(500nm),bca(550nm),bca(570nm),bca(600nm),bca(650nm),fda(415nm),fda(445nm),fda(480nm),fda(515nm),fda(clear),fda(NIR),fda(555nm),fda(590nm),fda(630nm),fda(680nm),fda(clear),fda(NIR)
4,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,VALID,0,0,0,0,0,0,18,76,36,52,220,230,62,53,45,89,220,230
4,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,VALID,0,0,0,0,0,0,30,93,39,93,423,212,91,80,65,73,423,212
4,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,VALID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
